127.0.0.1 - - [07/Jun/2018:16:20:08 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/ HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph2.jpg HTTP/1.1" 200 431178
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph1.jpg HTTP/1.1" 200 326208
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/css/index_css.css HTTP/1.1" 200 7874
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph5.jpg HTTP/1.1" 200 207421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph6.jpg HTTP/1.1" 200 313214
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph3.jpg HTTP/1.1" 200 189748
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/portfolio/thumbnails/ph4.jpg HTTP/1.1" 200 395199
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/js/creative.min.js HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:10 +0900] "GET /BOARD/img/REYOLABLACK.png HTTP/1.1" 200 14608
